filename,words
2L_top_Dieu_0001_png.rf.6504ac8398abe35d63ee386f811f9116.jpg,51A
2L_bot_Dieu_0001_png.rf.6504ac8398abe35d63ee386f811f9116.jpg,4032
2L_top_Dieu_0002_png.rf.55770366cb7e37dcaaf31ffa2163985d.jpg,51A
2L_bot_Dieu_0002_png.rf.55770366cb7e37dcaaf31ffa2163985d.jpg,4032
2L_top_Dieu_0003_png.rf.2a9c5c24d567a5dca96276a44f1013bc.jpg,50E
2L_bot_Dieu_0003_png.rf.2a9c5c24d567a5dca96276a44f1013bc.jpg,11297
2L_top_Dieu_0004_png.rf.0ee00afb4f2b37cc51156e5b5a7ae003.jpg,50E
2L_bot_Dieu_0004_png.rf.0ee00afb4f2b37cc51156e5b5a7ae003.jpg,11297
2L_top_Dieu_0005_png.rf.aab40ae70e1249aca3c50c187ce1b9ca.jpg,51B
2L_bot_Dieu_0005_png.rf.aab40ae70e1249aca3c50c187ce1b9ca.jpg,03271
2L_top_Dieu_0007_png.rf.b83e95abbde789b695aed4b2e01bb46a.jpg,62H
2L_bot_Dieu_0007_png.rf.b83e95abbde789b695aed4b2e01bb46a.jpg,76356
2L_top_Dieu_0011_png.rf.cbd743d4762975c745573834ffeea090.jpg,60C
2L_bot_Dieu_0011_png.rf.cbd743d4762975c745573834ffeea090.jpg,56611
2L_top_Dieu_0012_png.rf.cbaa27d6d06c8089d6631b9c24fcda4c.jpg,60C5
2L_bot_Dieu_0012_png.rf.cbaa27d6d06c8089d6631b9c24fcda4c.jpg,6611
2L_top_Dieu_0013_png.rf.3455aa56690d77e42a36473197639167.jpg,72G1
2L_bot_Dieu_0013_png.rf.3455aa56690d77e42a36473197639167.jpg,80117
2L_top_Dieu_0014_png.rf.898adc3a8ff7b792a1acebda3261a62a.jpg,60K
2L_bot_Dieu_0014_png.rf.898adc3a8ff7b792a1acebda3261a62a.jpg,26831
2L_top_Dieu_0015_png.rf.a6163e882781705513a486311031953b.jpg,50E
2L_bot_Dieu_0015_png.rf.a6163e882781705513a486311031953b.jpg,01296
2L_top_Dieu_0016_png.rf.9fb4826f5972c283705ee177bcc7eb83.jpg,50E
2L_bot_Dieu_0016_png.rf.9fb4826f5972c283705ee177bcc7eb83.jpg,01296
2L_top_Dieu_0017_png.rf.8aa8438a8007e3fe1700c3bc1f9e10e2.jpg,51K
2L_bot_Dieu_0017_png.rf.8aa8438a8007e3fe1700c3bc1f9e10e2.jpg,36443
2L_top_Dieu_0019_png.rf.225a2bd943874eb64821fd0d10278a13.jpg,51G
2L_bot_Dieu_0019_png.rf.225a2bd943874eb64821fd0d10278a13.jpg,20995
2L_top_Dieu_0021_png.rf.a6ba97eacafdaad1e8e8141785f70636.jpg,51A
2L_bot_Dieu_0021_png.rf.a6ba97eacafdaad1e8e8141785f70636.jpg,61294
2L_top_Dieu_0028_png.rf.f68a3700a7f0c38381ffa470a92495bb.jpg,51K
2L_bot_Dieu_0028_png.rf.f68a3700a7f0c38381ffa470a92495bb.jpg,50896
2L_top_Dieu_0029_png.rf.1316c1f491066ca6d35607337018de9f.jpg,51A
2L_bot_Dieu_0029_png.rf.1316c1f491066ca6d35607337018de9f.jpg,18281
2L_top_Dieu_0030_png.rf.b111d3325555e48e793ac8ccee55d053.jpg,51H
